tweet_id,label
1612233279528206338,SIM
1612233279528206338,SIM
1612601784433885184,NAO
1612233279528206338,SIM
1612601784433885184,NAO
1612553726455062536,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,SIM
1589768448715812864,NAO
1612139391660527624,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,SIM
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,SIM
1612201502910873600,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,SIM
1612201502910873600,SIM
1612827981768015876,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,INCONCLUSIVO
1612201502910873600,INCONCLUSIVO
1612827981768015876,NAO
1587473927940587527,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,SIM
1612201502910873600,SIM
1612827981768015876,SIM
1587473927940587527,NAO
1598416607772278784,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,SIM
1612201502910873600,SIM
1612827981768015876,NAO
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,INCONCLUSIVO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,INCONCLUSIVO
1612201502910873600,INCONCLUSIVO
1612827981768015876,SIM
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,NAO
1587844060718551040,NAO
1612233279528206338,SIM
1612601784433885184,NAO
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,NAO
1612201502910873600,NAO
1612827981768015876,NAO
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,INCONCLUSIVO
1587844060718551040,NAO
1599852030537109509,SIM
1632779,SIM
1612601784433885184,INCONCLUSIVO
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,NAO
1612201502910873600,SIM
1612827981768015876,SIM
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,INCONCLUSIVO
1587844060718551040,NAO
1599852030537109509,SIM
1587485620691243008,SIM
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,SIM
1612201502910873600,SIM
1612827981768015876,NAO
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,SIM
1587844060718551040,NAO
1599852030537109509,SIM
1587485620691243008,SIM
1596911784883109889,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,SIM
1612201502910873600,SIM
1612827981768015876,NAO
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,SIM
1587844060718551040,NAO
1599852030537109509,SIM
1587485620691243008,SIM
1596911784883109889,NAO
1603328988415401985,NAO
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,NAO
1612201502910873600,SIM
1612827981768015876,NAO
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,SIM
1587844060718551040,NAO
1599852030537109509,SIM
1587485620691243008,SIM
1596911784883109889,NAO
1603328988415401985,NAO
1612686812295888900,SIM
1612233279528206338,SIM
1612601784433885184,NAO
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,NAO
1612201502910873600,NAO
1612827981768015876,NAO
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,SIM
1587844060718551040,NAO
1599852030537109509,SIM
1587485620691243008,SIM
1596911784883109889,NAO
1603328988415401985,NAO
1612686812295888900,SIM
1589216958394032128,SIM
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,NAO
1612201502910873600,SIM
1612827981768015876,NAO
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,NAO
1587844060718551040,NAO
1599852030537109509,SIM
1587485620691243008,SIM
1596911784883109889,NAO
1603328988415401985,NAO
1612686812295888900,SIM
1589216958394032128,SIM
1587602327854354432,SIM
1612233279528206338,SIM
1612601784433885184,SIM
1612553726455062536,NAO
1589768448715812864,NAO
1612139391660527624,NAO
1587497503141806080,SIM
1612201502910873600,SIM
1612827981768015876,NAO
1587473927940587527,NAO
1598416607772278784,NAO
1613918416892469250,SIM
1587844060718551040,NAO
1599852030537109509,SIM
1587485620691243008,SIM
1596911784883109889,NAO
1603328988415401985,NAO
1612686812295888900,SIM
1589216958394032128,SIM
1587602327854354432,SIM
1622352294288187393,NAO
1589681666280525825,NAO
1589681666280525825,NAO
1612168005139456002,SIM
1589681666280525825,NAO
1612168005139456002,SIM
1612248046485520385,SIM
1589681666280525825,NAO
1612168005139456002,SIM
1612248046485520385,SIM
1590706491753127937,NAO
1589681666280525825,NAO
1612168005139456002,SIM
1612248046485520385,SIM
1590706491753127937,INCONCLUSIVO
1616480418752270339,NAO
1589681666280525825,NAO
1612168005139456002,SIM
1612248046485520385,SIM
