text,id,media,rotulo_maritaca
"@Jaarden1 @pietervandenoe5 Dit is een gerucht en gaat over eind 2023. <https://t.co/fZUAaVuEOZ>",1588137964827279364,0.0029957788",NÃO
"Mato Grosso\nDa capital do agronegócio brasileiro, Sorriso, no Mato Grosso, vem um dos principais articuladores das manifestações antidemocráticas no país, o empresário Argino Bedin, produtor rural que é chamado de "pai da soja" na região.",1593629710591741952,0.00013205485,NÃO
""" O Artigo 10 da Lei dos Direitos Humanos protege seu direito de ter suas próprias opiniões e de expressá-las livremente sem interferência do governo.\n\nIsso inclui o direito de expressar suas opiniões em voz alta (por exemplo, por meio de protestos e manifestações públicas)",1619288106984931328,0.00089237055,NÃO
"espero q esses bolsonaristas sem vergonha tomem um tiro de airsoft no meio do cu, vagabundo safados, pq não fazem intervenção militar na casa do caralho <https://t.co/7q7IrmseRU>",1612290188859801603,0.98470187,SIM
"Bolsonaristas seus filho da puta, já chega, agora minha mulher tá preocupada com intervenção militar\n\nCHEGA PRA VOCÊS, DEIXARAM MINHA MULHER PREOCUPADA EU VOU ARRANCAR O CU DE VCS SEUS SAFADOS, VAO TRABALHAR SEUS VADIOS",1587473974107193344,0.97732079,SIM
"Tem q meter é muita bala na cara desses bando de filho da puta em Brasília. Golpistas, terroristas!",1612227491015393281,0.9760479,SIM
"🔴👉 Además, el gobernador bolsonarista de Brasilia, Ibaneis Rocha, fue apartado de su cargo por un periodo de 90 días, luego de que se revelara que, presuntamente, tenía conocimiento del ataque a las instituciones.",1612534328348516355,0.0027043179249999,NÃO
"Se fosse negros brigando por respeito duvido que iam usar só água neles igual nesses terroristas de Brasília, no mínimo iam tacar bala neles",1612168005139456002,0.98470187,SIM
"Tomem bomba e bala seus vagabundos, bolsonaristas criminosos, terroristas!\nEsplanada! Brasília! Intervenção que vcs querem? Terão! Cadeia é muito pouco!",1612182108381892608,0.98470187,SIM
"Segundo informações; José Múcio disse que as manifestações são legítimas por serem pacíficas.",1610646315888689152,0.0014254855,NÃO
"Capelli, un alto funcionario del Ministerio de Justicia, asumió el comando de todas las fuerzas de seguridad de Brasilia luego de que Luiz Inácio Lula da Silva, ordenara una intervención federal en el Distrito Federal para hacer frente al ataque de los seguidores de Bolsonaro.",1612448028492791815,0.002636942023,NÃO
"@Nelsinho\_Hoff @2006Rodrigho @MarironiM @GayerGus Estavam lá fazendo o que? Exigindo golpe, pedindo intervenção militar em uma eleição justa e democrática? É isso que esses idosos estavam fazendo lá? Cadeia em todos eles. Fascistas nojentos. Que morram todos.",1612745951348772866,0.98470187,SIM
"pobre e preto jurando q vai ter intervenção militar, vai pro caralho maluco cê vai morrer kkkkkkjkkkk",1587369772823547905,0.98470187,SIM
"As manifestações estão ocorrendo por todo o país, nossos comandantes precisam tomar uma decisão, não podemos continuar por longo tempo nesta situação.",1589358743489167361,0.002886515,NÃO
"Porrada nesses terroristas de Brasília",1612207183436865536,0.98553735,SIM
"Quando aconteceu a invasão do capitólio eu já sabia q ia acontecer no Brasil e infelizmente eu estava certo, brasileiro sempre querendo imitar as piores coisas do exterior\nGados estúpidos e imundos. Merecem bala no lombo. \n\nManifestantes burros em Brasília...",1612184629670281216,0.98470187,SIM
"procuradores e advogados em colegiado universal;\n9. Não ter participado de manifestações públicas com teor político;\n10. Não ter participado de direção de sindicato, conselhos de classe ou federações nós últimos dez anos.",1614281426043641856,0.002128257,NÃO
"Bater em Professor, durante manifestações por melhores condições de trabalho e salários; e, matar pretos e pobres! <https://t.co/3Zyu8DlgYk>",1612248046485520385,0.98431622,SIM
"• suas manifestações estão chegando. em um futuro próximo você vai ver os resultados. persista;\n\n• algumas instabilidades passageiras podem aparecer. fique tranquilo, você vai conseguir superar facilmente;\n\n• casais estarão passando por uma nova fase mais estável e clara.",1617618179739783170,0.00268408215,NÃO
"Oq eu quero ver é a intervenção militar dando chute na bunda dos bolsominion",1609391312096169986,0.97664368,SIM
"🇺🇸 🇨🇳 Senador do Missouri Eric Schmitt: ""Estou pedindo uma investigação e exigindo respostas do administrador Biden sobre por que um balão espião chinês foi autorizado a pairar sobre a infraestrutura militar crítica no Missouri e no interior dos EUA sem qualquer intervenção"".",1622825514191802369,0.000152084615,NÃO
"Bandidos terroristas Bolsonaristas estão queimando ônibus e carros, depredando e tentando invadir a sede da Polícia Federal em Brasília. \nComo são terroristas, só levaram spray de pimenta na cara.\n\nSe fossem professores, levariam bala de borracha e bomba de gás lacrimogêneo. <https://t.co/xdf9Rqzo3L>",1602677286184026113,0.98234112,SIM
"@AndreaDeCastro @lazarorosa25 <https://t.co/SjWq0gr6YS>",1618432929692266500,0.00299484147,NÃO
"La vicepresidenta de los EEUU Kamala Harris condena el ataque a instituciones gubernamentales en la capital brasileña, Brasilia, después de tomar juramento a la nueva embajadora de Estados Unidos en Brasil, Elizabeth Bagley.",1612972475570180096,0.002613912986,NÃO
"@nanaulopes Tivemos um grande fluxo de solicitações devido as manifestações nas rodovias.\nPedimos desculpas, te chamamos no DM para auxiliá-lo.",1590401367889289217,0.002501371,NÃO
"@CelsoQuintas <https://t.co/iXPcgnklXJ>",1613515270177300480,0.00296050305,NÃO
"Anderson Torres, ex ministro de Justicia de Jair Bolsonaro, fue detenido este sábado en Brasilia en conexión con el violento ataque a la capital el 8 de enero, Torres fungía como Secretario de Seguridad de la capital el día que miles arrasaron las sedes del poder público.",1614674722519764993,0.002640272855,NÃO
"@GayerGus Na véspera do Natal a turma que vc defende tentou explodir uma bomba no aeroporto de Brasília.\n\nMataria crianças, mulheres, idosos, todos inocentes.\n\nTerroristas, fascistas, milicianos!",1614375052429987842,0.976944595,SIM
"ENFIA ESSE NGC D INTERVENÇÃO MILITAR NO CU BOLSONARISTAS VÃO TUDO SE FUDE ENFIA UMA TORA NO CU D CADA UM",1612227779373764608,0.97798727,SIM
"Após o fracasso do governo Dutra, várias manifestações do povo, de intelectuais e políticos a favor do retorno de Getúlio (que havia se afastado da política como dito na aula anterior), faz com que Getúlio retorne à cena e dispute as eleições de 1950.",1612139391660527624,5.2877618e-05,NÃO
"O objetivo é discutir e receber manifestações orais e escritas acerca da quarta norma do Regulamento das Concessões Rodoviárias (RCR 4).",1620403316231667712,0.00027073268,NÃO
"Terça-feira provavelmente Trump está de volta à cena do congresso americano. Dia 9 sai o relatório, as manifestações vai surtir efeito.",1589743458356727808,0.0021031915,NÃO
"As manifestações nas rodovias de SC estão prejudicando o sistema de saúde. De acordo com o governo do estado, os principais problemas estão na distribuição de vacinas e medicamentos. Os veículos de transporte não estão conseguindo chegar ao destino.",1587473927940587527,0.0028268078,NÃO
"@luglob20 @choquei bolsominios be like:\n bandido, vagabundo, preto e gay tem q mata, tem q libera arma pra mata, tem q ter intervenção militar pra mata, blablala ditadura pra mata\n\nbolsominions a semanas sem trabalha por pura paranoia e birra: oh mds q ato lindo, a policia esta oprimindo eles 😭",1612230377963196417,0.98316877,SIM
"Sinto a falta de fuzil, umas bombas, e boa munição contra esses terroristas.\n\nBandido bom, é bandido morto, espero que todos morram, bando de bandido filho da put@\n\n#brasilia #BolsonaroCovarde #Terrorismo <https://t.co/SX1teEy3Ru>",1612209066847117314,0.9751021,SIM
"VAGABUNDOS terroristas destruindo brasília. todo bolsonarista que chegar perto de mim vai levar um murro vou tratar como se fosse nazista",1612174109101760512,0.97875882,SIM
"boa tarde gente, tem que matar esses terroristas de Brasília aí papo de enforcamento em praça pública e os caralho. bom domingo a todos",1612191827586580490,0.97913105,SIM
"""quero intervenção militar pra matar esses capetas petistas esse bando de satanás que votou no lula pra acabar com essa palhaçada de mulher com mulher"" \n-Um homem de família, obreiro da igreja. https://t.co/aBBLO89uIn",1587974417174482944,0.98470187,SIM
"Brasilia anunció este lunes un fortalecimiento de la seguridad en las sedes de los poderes públicos vandalizadas el 8 de enero por seguidores del expresidente ultraderechista Jair Bolsonaro, al tiempo que las autoridades detuvieron a uno de los presuntos organizadores del ataque.",1615166425236127744,0.00283575335,NÃO
@MauMeirelles <https://t.co/2LPeuakY9T>,1587982444321558528,0.00288940783,NÃO
"Tem Q meter bala nesses terroristas ai de Brasília",1612208572309413889,0.98924732,SIM
"As emoções determinam a forma como nos relacionamos com o mundo. Conhecer suas manifestações e funções pode atenuar o sofrimento psíquico e ajuda a lidar melhor com as questões do dia a dia.",1622394225928142848,0.0011830324,NÃO
"🚧 Atualização dos pontos com interdição de pista devido a manifestações populares:\n\n- BR-060/GO, km 101 (Anápolis);\n\n- BR-262/MG, km 368 (Juatuba);\n\n- BR-262/MG km 631 (Araxá),automóveis e ambulâncias liberadas no sentido BH;\n\n- BR-262/MG km 694 (Araxá).",1587439847022665731,0.0004697153,NÃO
"@abdiel_pazini Não gosto de nem um nem outro, todos tem que ser presos, terroristas principalmente porque são perigosos, truculentos, temos mais de 2 mil em Brasília guardados na papuda e na colmeia, vamos endireitar este Brasil, chega de matar indígenas, doentes de covid, famintos, negros",1619161912012578817,0.97629359,SIM
"Disse que não ia falar de política, mas eu queria que houvesse uma intervenção militar em cima desses bolsobostas,.mandando bala em cima deles igual é feito dentro das comunidades, mata eles também ué, são arruaceiros, bederneiros e terroristas, mate eles igual muitos inocentes,",1612548375353630723,0.98924732,SIM
"vocês precisam perceber que, uma vez que você mude a concepção de si mesmo, o mundo ao seu redor mudará. é por isso que tantas pessoas obtêm suas manifestações trabalhando em seu autoconceito.",1598252680870506498,0.0008492995,NÃO
"China 🇨🇳: Os protestos dos últimos dias, já são as maiores manifestações contra o governo chinês desde 1989.",1598416607772278784,0.000298804925,NÃO
"Bolsonarista são terroristas, merecem intervenção militar no rabo mesmo.",1612195523561246728,0.98126392,SIM
@reportersalles <https://t.co/cb9790mddu>,1590405125839126529,0.00296304773,NÃO
"bolsonaristas seus arrombados \nse meu biquíni da shein ficar preso na porra das manifestações eu vou matar vocês no soco porra \né inacreditável que ainda tenha uns 20 desempregado que fica lá sentado o dia inteiro, devem tá fedendo a cu \nputos",1590354174663065603,0.9760479,SIM
"era só me dar um fuzil que eu resolvia o problema de Brasília rapidinho, tem que derrubar esses terroristas bolsonaristas desgraçados e ponto final",1612204467855982593,0.98470187,SIM
"Mesas de diálogo, lançamentos de livros, exposições de arte e artesanato, música, poesia, samba, HipHop, capoeira e outras manifestações culturais ocuparam as ruas da "cidade heroica" à beira do Rio Paraguaçu.",1589768448715812864,0.00283575335,NÃO
"Queria ver tacarem bomba e bala nesses terroristas vagabundos em Brasília",1612228555559112705,0.9760479,SIM
"• Tras el ataque en Brasilia, crecen las sospechas sobre el rol de policías y militares en un país en el que las fuerzas de seguridad intervienen abiertamente en la disputa política",1613918416892469250,0.0027723942,NÃO
"Gleen para de ser burro , vc e seu marido são homossexuais, se vocês tivesse la em Brasília na hora da invasão os bolsonaristas iriam dizer : deus , pátria e família, gays são aberração completa, iriam matar vocês 2 sem dúvidas \nPense nisso e para de defender esses lixos",1615875778008256513,0.98003737,SIM
@MarcoComanche <https://t.co/qM1rX10dcm>,1605688342645022725,0.00300501295,NÃO
"@FaleiroAirton Coisa boa. Tomara que matem, destruam tudo. Acabem com Brasília. Bolsonaristas não são comunistas, terroristas, assassinos, ladrões, criminosos. ELES FALAM ISSO!",1602630413553438722,0.98470187,SIM
@LucianoGiusepp4 <https://t.co/JfbDfgoqfY> @MarciaP_RJ,1590916095434756096,0.00300085685,NÃO
"Bolsonaristas do caralho, tem que morrer umas pragas dessa... Vai pra rua pedir ""liberdade"" e ""intervenção militar"" sendo que são coisas extremamente opostas. Vsf bando de pau no cu do caralho",1587602327854354432,0.98470187,SIM
@NadjaLopes2 <https://t.co/xHc1I84Zv3>,1612276560827924482,0.00300281975,NÃO
