tweet_id,label,text,id,media
1612233279528206338,SIM,Eu quero saber pq um preto carregando o pé de uma cama pode ser morto pq pensam ser um fuzil e esses terroristas fdp em Brasília não pegam nem um cacetete no lombo,1612233279528206338,0.98470187
1612233279528206338,SIM,Eu quero saber pq um preto carregando o pé de uma cama pode ser morto pq pensam ser um fuzil e esses terroristas fdp em Brasília não pegam nem um cacetete no lombo,1612233279528206338,0.98470187
1612601784433885184,NAO,As manifestações de 2013 eram feitas por terroristas também?,1612601784433885184,0.282164645
1612233279528206338,SIM,Eu quero saber pq um preto carregando o pé de uma cama pode ser morto pq pensam ser um fuzil e esses terroristas fdp em Brasília não pegam nem um cacetete no lombo,1612233279528206338,0.98470187
1612601784433885184,NAO,As manifestações de 2013 eram feitas por terroristas também?,1612601784433885184,0.282164645
1612553726455062536,NAO,@RenanSantosMBL Mas as manifestações violentas interessam ao governo.,1612553726455062536,0.51480826
1612233279528206338,SIM,Eu quero saber pq um preto carregando o pé de uma cama pode ser morto pq pensam ser um fuzil e esses terroristas fdp em Brasília não pegam nem um cacetete no lombo,1612233279528206338,0.98470187
1612601784433885184,SIM,As manifestações de 2013 eram feitas por terroristas também?,1612601784433885184,0.282164645
1612553726455062536,NAO,@RenanSantosMBL Mas as manifestações violentas interessam ao governo.,1612553726455062536,0.51480826
1589768448715812864,NAO,"Mesas de diálogo, lançamentos de livros, exposições de arte e artesanato, música, poesia, samba, HipHop, capoeira e outras manifestações culturais ocuparam as ruas da “cidade heroica” à beira do Rio Paraguaçu.",1589768448715812864,2.858892e-05
1612233279528206338,SIM,Eu quero saber pq um preto carregando o pé de uma cama pode ser morto pq pensam ser um fuzil e esses terroristas fdp em Brasília não pegam nem um cacetete no lombo,1612233279528206338,0.98470187
1612601784433885184,SIM,As manifestações de 2013 eram feitas por terroristas também?,1612601784433885184,0.282164645
1612553726455062536,SIM,@RenanSantosMBL Mas as manifestações violentas interessam ao governo.,1612553726455062536,0.51480826
